,unique,name,transportation,aid,population,education,graduation,reduced_lunch,homeless,multilingual,tax,budget_cuts ,gender,percent_of _low_income_students,funding,salary
Atlantic,10,Absecon City,"415,922","6,857,377",927,"1,045,702",63,81,31,74,1,0,0,49,1,1
Atlantic,110,Atlantic City,"1,390,702","115,175,426",6262,"5,620,334",79.8,399,114,1166,1,0,0,87,0,1
Atlantic,120,Atlantic Co Vocational,0,"22,007,496",1805,"2,091,403",97.7,19,6,1,0,0,1,55,0,0
Atlantic,570,Brigantine City,"496,944","845,078",383,"51,635",72.6,236,14,0,1,1,0,31,1,1
Atlantic,590,Buena Regional,"914,277","17,606,675",1613,"1,610,946",88.2,25,7,13,0,0,1,55,0,1
Atlantic,960,Corbin City,"71,890","492,838",,"56,035",90,194,40,78,0,1,0,32,1,0
Atlantic,1300,Egg Harbor City,"123,396","8,727,784",568,"614,703",87.6,39,6,33,1,0,1,68,0,0
Atlantic,1310,Egg Harbor Twp,"3,273,116","81,291,694",7439,"7,690,041",93.7,746,55,222,1,0,1,46,0,0
Atlantic,1410,Estell Manor City,0,"1,784,477",184,"167,247",50.6,3,0,0,0,1,0,16,0,1
Atlantic,1540,Folsom Boro,"181,520","5,855,831",375,"423,456",88.4,30,2,4,0,0,1,22,0,0
Atlantic,1690,Galloway Twp,"1,088,704","27,662,176",3087,"3,138,580",92.7,312,48,114,1,1,1,45,0,0
Atlantic,1790,Greater Egg Harbor Reg,"2,009,055","37,748,590",3009,"3,405,595",87,360,40,84,1,0,1,50,0,1
Atlantic,1940,Hamilton Twp,"2,405,901","29,315,327",2859,"2,911,007",93,236,41,113,0,1,1,49,0,0
Atlantic,1960,Hammonton Town,"757,886","31,156,914",3269,"2,297,445",61,284,17,301,1,0,0,37,0,1
Atlantic,2680,Linwood City,"111,744","1,183,202",787,"630,444",76.4,15,3,10,0,0,1,10,1,1
Atlantic,2780,Longport,"20,694","89,385",,"53,157",90.6,36,14,24,1,0,1,19,0,1
Atlantic,2910,Mainland Regional,"301,868","8,185,924",1170,"935,206",91,1,0,4,1,0,,,,
Atlantic,3020,Margate City,"136,684","504,806",317,"304,414",82.9,35,2,4,1,0,1,5,1,1
Atlantic,3480,Mullica Twp,"236,446","4,677,876",621,"442,376",88.4,44,5,22,1,1,0,43,0,0
Atlantic,3720,Northfield City,"59,085","5,485,418",941,"843,547",54.5,218,54,775,1,0,0,23,0,1
Atlantic,4180,Pleasantville City,"699,058","78,544,456",3694,"2,182,722",72,0,0,0,0,1,1,75,0,1
Atlantic,4240,Port Republic City,"47,977","962,590",111,"85,872",55.4,55,13,75,0,1,1,3,0,1
Atlantic,4800,Somers Point City,"142,184","3,301,645",754,"568,696",92.6,20,0,16,0,0,1,58,0,0
Atlantic,5350,Ventnor City,"417,427","1,159,698",479,"285,643",65,15,1,0,0,0,1,51,1,1
Atlantic,5760,Weymouth Twp,"170,118","651,399",178,"172,489",89,0,0,9,1,1,1,43,0,0
Bergen,40,Allendale Boro,"26,960","1,031,561",897,"1,047,691",51.7,0,0,6,1,1,1,2,1,1
Bergen,80,Alpine Boro,"74,112","287,364",163,"217,354",93,9,4,10,0,1,0,2,1,1
Bergen,290,Bergen County Vocational,0,"5,695,547",2790,"1,938,101",99,80.5,3,0.5,0,1,0,10,1,1
Bergen,300,Bergenfield Boro,"851,701","20,427,188",3698,"4,256,702",93,418,26,261,0,1,1,34,1,0
Bergen,440,Bogota Boro,"203,338","13,764,050",1337,"1,560,546",97.4,207,3,75,0,1,1,46,0,1
Bergen,740,Carlstadt Boro,"45,263","696,616",510,"586,121",90.4,39,1,76,0,1,1,32,1,1
Bergen,745,Carlstadt-East Rutherford,"101,164","811,994",816,"615,427",94.2,55.5,4,45,1,1,0,21,1,1
Bergen,890,Cliffside Park Boro,"449,096","8,621,511",3089,"2,886,645",86.2,293,23,521,0,1,1,49,1,1
Bergen,930,Closter Boro,"93,632","1,462,558",1190,"1,399,363",93,0,0,101,0,1,1,1,1,1
Bergen,990,Cresskill Boro,"90,008","1,977,748",1710,"1,926,872",96.7,11,0,146,1,1,1,1,1,1
Bergen,1070,Demarest Boro,"49,777","849,087",767,"842,549",99,1,0,35,0,1,1,1,1,0
Bergen,1130,Dumont Boro,"246,823","12,823,681",2523.5,"3,025,848",97,64,4,79,0,1,1,8,1,1
Bergen,1230,East Rutherford Boro,"133,577","989,423",761,"849,875",80.6,93,3,61,1,1,0,37,1,1
